food_item,price_per_gram
almond,7333.333333
apple,1000.0
apple_pie,10000.0
banana,2000.0
beef,7000.0
bell_pepper,1200.0
black_eyed_beans,3000.0
bread,200.0
broccoli,1100.0
butter,7000.0
cabbage,750.0
canolla_oil,944.4444444
carrot,600.0
celery,666.6666667
chicken,1233.333333
chocolate_ice_cream,2000.0
citrus,500.0
coconut,1600.0
corn_oil,3600.0
cream_cheese,3000.0
cucumber,1200.0
date,10000.0
egg,800.0
eggplant,600.0
fig,12000.0
garlic,4400.0
grape,2900.0
green_pea,4500.0
high_fat_milk,740.0
hot_pepper,1400.0
huzelnuts,9500.0
kiwi,3800.0
lamb,12666.66667
lemon_juice,2720.0
lentil,2444.444444
lettuce,823.5294118
low_fat_milk,700.0
mango,4000.0
margarine,1100.0
melon,600.0
mushroom,2800.0
olive_oil,4888.888889
onion,500.0
parsley,1600.0
pea,2400.0
peach,2500.0
peanut_butter,7268.722467
pear,4000.0
pinto_bean,4000.0
pistachio,12000.0
potato,500.0
pumpkin,2300.0
radish,35000.0
raisins,4980.0
red_bean,3777.777778
regular_cheese,1875.0
rice,2500.0
shallot,20000.0
shrimp,7777.777778
soy,1600.0
spaghetti,800.0
spinach,1500.0
strawberry,4800.0
sunflower_seeds,5142.857143
sunseed_oil,800.0
tomato,600.0
trout,3333.333333
tuna,5000.0
turkey,2400.0
vanilla_ice_cream,2000.0
walnut,13000.0
watermelon,418.1818182
whole_bread,3200.0
yogurt,611.1111111